section,scale,scale_display,item_text,item_text_abbreviated,S1,S2,S3,S4,S5
First-order construct items,Exploitation,Exploitation,We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,We are unable to use our nation’s greatest potential beca...,poi3,exp1,exp1,—,exp1
First-order construct items,Exploitation,Exploitation,Foreign countries are exploiting our nation’s resources.,Foreign countries are exploiting our nation’s resources.,exp2,exp2,exp2,—,exp2
First-order construct items,Exploitation,Exploitation,Western civilization is characterized by materialism and exploitation of others.,Western civilization is characterized by materialism and ...,exp3,exp3,exp3,—,exp3
First-order construct items,Exploitation,Exploitation,Globalization poses a big threat to our statehood and national identity.,Globalization poses a big threat to our statehood and nat...,exp4,exp4,exp4,—,exp4
First-order construct items,Exploitation,Exploitation,"Over the past decades, moral values have declined due to Western influence.","Over the past decades, moral values have declined due to ...",dec1,exp5,exp5,—,exp5
First-order construct items,Exploitation,Exploitation,We have become puppets of Brussels.,We have become puppets of Brussels.,exp1,—,—,—,—
First-order construct items,The LGBT+,LGBT+ Opposition,We should protect and enforce traditional gender roles.,We should protect and enforce traditional gender roles.,lgbt1,lgb1,lgb1,—,lgb1
First-order construct items,The LGBT+,LGBT+ Opposition,The LGBT+ movement is a threat to our values.,The LGBT+ movement is a threat to our values.,lgbt2,lgb2,lgb2,—,lgb2
First-order construct items,The LGBT+,LGBT+ Opposition,LGBT+ rights promotion is a disguised form of colonization.,LGBT+ rights promotion is a disguised form of colonization.,lgbt3,lgb3,lgb3,—,lgb3
First-order construct items,The LGBT+,LGBT+ Opposition,We should ban LGBT+ propaganda like countries as Russia or Belorussia did.,We should ban LGBT+ propaganda like countries as Russia o...,lgbt4,lgb4,lgb4,—,lgb4
First-order construct items,The LGBT+,LGBT+ Opposition,"We should immediately stop promoting leftist, woke gender ideology.","We should immediately stop promoting leftist, woke gender...",—,lgb5,lgb5,—,lgb5
First-order construct items,The LGBT+,LGBT+ Opposition,We should acknowledge biological reality that only two genders exist – male and female.,We should acknowledge biological reality that only two ge...,—,lgb6,lgb6,—,lgb6
First-order construct items,Immigration,Immigration,The EU is unable to handle immigration.,The EU is unable to handle immigration.,unp3,mi1,mi1,—,mi1
First-order construct items,Immigration,Immigration,Immigrants are changing Europe for the worse.,Immigrants are changing Europe for the worse.,unp4,mi2,mi2,—,mi2
First-order construct items,Immigration,Immigration,We should adopt a much harder line against immigration.,We should adopt a much harder line against immigration.,—,mi3,mi3,—,mi3
First-order construct items,Immigration,Immigration,Immigrants take advantage of our country.,Immigrants take advantage of our country.,—,mi4,mi4,—,mi4
First-order construct items,Immigration,Immigration,We should deport all immigrants to where they came from.,We should deport all immigrants to where they came from.,—,mi5,mi5,—,mi5
First-order construct items,Immigration,Immigration,Immigrants are responsible for many of my country's biggest problems.,Immigrants are responsible for many of my country's bigge...,—,mi6,mi6,—,mi6
