# Short DisInforMeter language matrix (Annex B) — FILLED from S4 Qualtrics deployment.
# Generated by disinformeter-demonstrator/scripts/extract/extract_translations.py
# english column = harmonised analysis wording; language columns = deployed S4 translations.
item_code,construct,origin,english,BG,DE,EN,ET,FR,HU,IT,LT,LV,NL,PL,RU,SR,TR
gen1,GEN,,I have a very negative feeling about how my state handles external threats.,"Имам много негативно отношение към начина, по който държавата ми се справя с външните заплахи","Ich habe ein sehr negatives Gefühl über die Art und Weise, wie mein Staat mit externen Bedrohungen umgeht",I have a very negative feeling about how my state handles external threats,"Mul on väga negatiivne tunne selle kohta, kuidas minu riik väliste ohtudega toime tuleb",J'ai un sentiment très négatif sur la façon dont mon État gère les menaces extérieures,"Nagyon negatív érzéseim vannak azzal kapcsolatban, hogy az állam hogyan kezeli a külső fenyegetéseket.",Ho una sensazione molto negativa su come il mio stato gestisce le minacce esterne,"Man kyla labai neigiami jausmai, kai galvoju apie tai, ar mano valstybė tinkamai tvarkosi su išorinėmis grėsmėmis","Man ir ļoti negatīva sajūta par to, kā mana valsts tiek galā ar ārējiem draudiem",Ik heb een zeer negatief gevoel over de manier waarop mijn staat omgaat met externe bedreigingen,"Mam bardzo negatywne odczucia co do tego, jak mój kraj radzi sobie z zagrożeniami zewnętrznymi","У меня крайне негативное ощущение от того, как моё государство справляется с внешними угрозами.",Имам веома негативан осећај о томе како се моја држава носи са спољним претњама,Devletimin dış tehditlerle nasıl başa çıktığı konusunda çok olumsuz hislerim var
gen2,GEN,,I dislike the actions of our international allies in ensuring the safety of my state.,"Не харесвам действията на нашите международни съюзници, насочени към осигуряване на безопасността на моята държава",Ich stehe den Maßnahmen unserer internationalen Partner zur Gewährleistung der Sicherheit meines Landes kritisch gegenüber,I dislike the actions of our international allies in ensuring the safety of my state,Mulle ei meeldi meie rahvusvaheliste liitlaste tegevus minu riigi turvalisuse tagamisel,Je n’aime pas les actions de nos alliés internationaux pour assurer la sécurité de mon État,"Nem szeretem a nemzetközi szövetségeseink intézkedéseit, amelyekkel államom biztonságát garantálják.",Non mi piacciono le azioni dei nostri alleati internazionali nel garantire la sicurezza del mio Stato,"Man nepatinka mūsų tarptautinių sąjungininkų veiksmai, užtikrinant mano valstybės saugumą",Man nepatīk mūsu starptautisko sabiedroto rīcība manas valsts drošības nodrošināšanā,Ik heb een hekel aan de acties van onze internationale bondgenoten bij het waarborgen van de veiligheid van mijn staat,Nie podobają mi się działania naszych międzynarodowych sojuszników mające na celu zapewnienie bezpieczeństwa mojego kraju,Мне не нравятся действия наших международных союзников по обеспечению безопасности моего государства.,Не свиђају ми се поступци наших међународних савезника у обезбеђивању безбедности моје државе,Uluslararası müttefiklerimizin devletimin güvenliğini sağlama konusundaki eylemlerinden hoşlanmıyorum
gen3,GEN,,I fear the consequences of provoking countries like Russia or China,Страхувам се от последствията от провокирането на страни като Русия или Китай,"Ich fürchte die möglichen Folgen, wenn Länder wie Russland oder China provoziert werden",I fear the consequences of provoking countries like Russia or China,"Ma kardan tagajärgi, mis kaasnevad selliste riikide nagu Venemaa või Hiina provotseerimisega",Je crains les conséquences de provoquer des pays comme la Russie ou la Chine,"Félek az olyan országok provokálásának következményeitől, mint Oroszország vagy Kína.",Temo le conseguenze di provocare paesi come la Russia o la Cina,"Bijau pasekmių, kurios gali kilti dėl tokių šalių kaip Rusija ar Kinija provokavimo","Es baidos no sekām, ko rada tādu valstu kā Krievijas vai Ķīnas provocēšana",Ik vrees de gevolgen van het provoceren van landen als Rusland of China,Obawiam się konsekwencji prowokowania krajów takich jak Rosja czy Chiny,"Меня тревожат возможные последствия провоцирования таких стран, как Россия или Китай.",Плашим се последица провоцирања земаља попут Русије или Кине,Rusya veya Çin gibi ülkeleri kışkırtmanın sonuçlarından korkuyorum
gen5,GEN,,I like Russia.,Харесвам Русия,Ich mag Russland,I like Russia,Mulle meeldib Venemaa,J'aime la Russie,Szeretem Oroszországot.,Mi piace la Russia,Man patinka Rusija,Man patīk Krievija,Ik hou van Rusland,Lubię Rosję,Мне нравится Россия.,Свиђа ми се Русија,Rusya'yı seviyorum
gen7,GEN,,I like China.,Харесвам Китай,Ich mag China,I like China,Mulle meeldib Hiina,J'aime la Chine,Szeretem Kínát.,Mi piace la Cina,Man patinka Kinija,Man patīk Ķīna,Ik hou van China,Lubię Chiny,Мне нравится Китай.,Свиђа ми се Кина,Çin'i seviyorum
th6,THREAT,,I am angry when I think about how my country is being used by foreign countries.,"Ядосвам се, когато си помисля как страната ми се използва от чужди държави","Ich werde wütend, wenn ich daran denke, wie mein Land vom Ausland ausgenutzt wird",I am angry when I think about how my country is being used by foreign countries,"Mind ajab vihale mõte sellest, kuidas võõrad riigid minu riiki ära kasutavad",Je suis en colère quand je pense à la façon dont mon pays est utilisé par des pays étrangers,"Dühös vagyok, amikor arra gondolok, hogyan használják fel a hazámat külföldi országok",Mi arrabbio quando penso a come il mio paese viene usato dai paesi stranieri,"Pykstu, kai galvoju, kaip mano šalimi naudojasi užsienio šalys","Jūtu dusmas, kad domāju par to, kā ārvalstis izmanto manu valsti",Ik word boos als ik denk aan de manier waarop mijn land door andere landen wordt gebruikt,"Złości mnie myśl o tym, jak mój kraj jest wykorzystywany przez inne kraje","Я злюсь, когда думаю о том, как мою страну используют другие страны.",Љут/a сам када помислим како моју земљу користе стране земље,Ülkemin yabancı ülkeler tarafından nasıl kullanıldığını düşündüğümde öfkeleniyorum
th9,THREAT,,I am worried about the spread of LGBT+ propaganda.,Притеснявам се от разпространението на ЛГБТ+ пропаганда,Ich mache mir Sorgen wegen der Verbreitung von LGBT+-Propaganda,I am worried by the spread of LGBT+ propaganda,Olen mures LGBT+ propaganda leviku pärast,Je suis préoccupé par la propagation de la propagande LGBT+,Aggódom az LMBT+ propaganda terjedése miatt,Sono preoccupato per la diffusione della propaganda LGBT+,Esu susirūpinęs (-usi) dėl LGBT+ propagandos plitimo,Mani uztrauc LGBT+ propagandas izplatība,Ik maak me zorgen over de verspreiding van LGBT+-propaganda,Martwi mnie rozprzestrzenianie się propagandy LGBT+,Меня беспокоит распространение пропаганды ЛГБТ+.,Забринут/a сам због ширења ЛГБТ+ пропаганде,LGBT+ propagandasının yayılmasından endişe duyuyorum
ab2,ABAND,,I feel disappointed by the actions of the international allies in protecting my country.,Чувствам се разочарован/а от действията на международната общност в защита на страната ми,Ich bin enttäuscht vom Handeln der internationalen Gemeinschaft beim Schutz meines Landes,I feel disappointed by the actions of the international community in protecting my country,Olen pettunud rahvusvahelise üldsuse tegevuses minu riigi kaitsmisel,Je suis déçu par les actions de la communauté internationale pour protéger mon pays,Csalódott vagyok a nemzetközi közösség országom védelmében tett intézkedései miatt.,Sono deluso dalle azioni della comunità internazionale nel proteggere il mio Paese,Jaučiuosi nusivylęs (-usi) tarptautinių sąjungininkų veiksmais ginant mano šalį,Izjūtu vilšanos par starptautiskās sabiedrības rīcību manas valsts aizsardzībā,Ik ben teleurgesteld over de acties van de internationale gemeenschap bij het beschermen van mijn land,Jestem zawiedziony/na działaniami społeczności międzynarodowej mającymi na celu ochronę mojego kraju,Я разочарован действиями международного сообщества по защите моей страны.,Разочаран/a сам поступцима међународне заједнице у заштити моје земље,Uluslararası toplumun ülkemin güvenliğini sağlama konusundaki tutumu beni hayal kırıklığına uğratıyor
ab4,ABAND,,I’m angry at my state for failing to protect the interests of its citizens.,"Ядосан съм на държавата си, че не успява да защити интересите на своите граждани","Ich bin wütend auf meinen Staat, weil er die Interessen seiner Bürger nicht schützt",I’m angry at my state for failing to protect the interests of its citizens,"Olen oma riigi peale vihane, et see ei kaitse oma kodanike huve",Je suis en colère contre mon État parce qu’il ne parvient pas à protéger les intérêts de ses citoyens,"Dühös vagyok az államra, amiért nem védi meg polgárai érdekeit.",Sono arrabbiato con il mio Stato perché non riesce a proteggere gli interessi dei suoi cittadini,"Pykstu ant savo valstybės, nes ji nesugeba apsaugoti savo piliečių interesų","Izjūtu dusmas uz savu valsti par to, ka tā neaizsargā savu pilsoņu intereses",Ik ben boos op mijn staat omdat deze de belangen van haar burgers niet beschermt,"Jestem zły/zła na mój krak za to, że nie chroni interesów swoich obywateli","Я злюсь на свое государство за то, что оно не защищает интересы своих граждан.",Љут/a сам на своју државу јер није успела да заштити интересе својих грађана,Devletimin vatandaşlarının çıkarlarını koruyamaması beni öfkelendiriyor
ab7,ABAND,,I feel angry because the knowledge I want to access is being censored in my state.,"Чувствам гняв, защото информацията, до която искам да получа достъп, е цензурирана в моята страна","Ich bin wütend, weil die Informationen, auf die ich zugreifen möchte, in meinem Land zensiert werden",I feel anger because the information I want to access is being censored in my country,"Tunnen viha, sest infot, millele ma tahan ligi pääseda, tsenseeritakse minu riigis",Je ressens de la colère parce que les informations auxquelles je veux accéder sont censurées dans mon pays,"Dühöt érzek, mert az országomban cenzúrázzák az információkat, amelyekhez hozzáférni szeretnék.",Provo rabbia perché le informazioni a cui voglio accedere vengono censurate nel mio paese,"Pykstu, nes informacija, kurią noriu pasiekti, mano šalyje yra cenzūruojama","Izjūtu dusmas, jo informācija, kurai vēlos piekļūt, manā valstī tiek cenzēta",Ik voel woede omdat de informatie die ik wil raadplegen in mijn land wordt gecensureerd,"Czuję złość, ponieważ informacje, do których chcę uzyskać dostęp, są w moim kraju cenzurowane","Я чувствую гнев, потому что информация, к которой я хочу получить доступ, подвергается цензуре в моей стране.",Бесан/сна сам јер су информације којима желим да приступим цензурисане у мојој земљи,Erişmek istediğim bilgilerin ülkemde sansürlenmesi beni öfkelendiriyor
