section,scale,domain_label,item_text,S1,S2,S3,S4,S5,versions,short_module_code,fimi_origin,short_fimi
First-order construct items,Exploitation,,We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,poi3,exp1,exp1,,exp1,long,,,
First-order construct items,Exploitation,,Foreign countries are exploiting our nation’s resources.,exp2,exp2,exp2,,exp2,long,,,
First-order construct items,Exploitation,,Western civilization is characterized by materialism and exploitation of others.,exp3,exp3,exp3,,exp3,long,,,
First-order construct items,Exploitation,,Globalization poses a big threat to our statehood and national identity.,exp4,exp4,exp4,,exp4,long,,,
First-order construct items,Exploitation,,"Over the past decades, moral values have declined due to Western influence.",dec1,exp5,exp5,,exp5,long,,,
First-order construct items,Exploitation,,We have become puppets of Brussels.,exp1,,,,,,,,
First-order construct items,LGBT+ Opposition,,We should protect and enforce traditional gender roles.,lgbt1,lgb1,lgb1,,lgb1,long,,,
First-order construct items,LGBT+ Opposition,,The LGBT+ movement is a threat to our values.,lgbt2,lgb2,lgb2,,lgb2,long,,,
First-order construct items,LGBT+ Opposition,,LGBT+ rights promotion is a disguised form of colonization.,lgbt3,lgb3,lgb3,,lgb3,long,,,
First-order construct items,LGBT+ Opposition,,We should ban LGBT+ propaganda like countries as Russia or Belorussia did.,lgbt4,lgb4,lgb4,,lgb4,long,,,
First-order construct items,LGBT+ Opposition,,"We should immediately stop promoting leftist, woke gender ideology.",,lgb5,lgb5,,lgb5,long,,,
First-order construct items,LGBT+ Opposition,,We should acknowledge biological reality that only two genders exist – male and female.,,lgb6,lgb6,,lgb6,long,,,
First-order construct items,Immigration,,The EU is unable to handle immigration.,unp3,mi1,mi1,,mi1,long,,,
First-order construct items,Immigration,,Immigrants are changing Europe for the worse.,unp4,mi2,mi2,,mi2,long,,,
First-order construct items,Immigration,,We should adopt a much harder line against immigration.,,mi3,mi3,,mi3,long,,,
First-order construct items,Immigration,,Immigrants take advantage of our country.,,mi4,mi4,,mi4,long,,,
First-order construct items,Immigration,,We should deport all immigrants to where they came from.,,mi5,mi5,,mi5,long,,,
First-order construct items,Immigration,,Immigrants are responsible for many of my country's biggest problems.,,mi6,mi6,,mi6,long,,,
First-order construct items,Immigration,,Foreigners do not belong in Lithuania.,,mi7,mi7,,mi7,long,,,
First-order construct items,Unprotected by international allies,,EU is weak and has no power.,unp1,unp1,unp1,,unp1,long,,,
First-order construct items,Unprotected by international allies,,NATO will not be brave enough to defend our nation in case of military conflict.,unp5,unp2,unp2,,unp2,long,,,
First-order construct items,Unprotected by international allies,,NATO will betray us like Ukraine has been betrayed.,unp6,unp3,unp3,,unp3,long,,,
First-order construct items,Unprotected by international allies,,NATO has expanded too much and will be torn apart by internal conflicts.,unp8,unp4,unp4,,unp4,long,,,
First-order construct items,Unprotected by international allies,,The influence of the USA in the world is getting weaker and weaker.,unp2,,,,,,,,
First-order construct items,Unprotected by international allies,,We should quit NATO as NATO membership poses a great threat to our nation.,unp7,,,,,,,,
First-order construct items,Abandoned by own state,,My state has abandoned its citizens.,aban1,aban1,aban1,,aban1,long,,,
First-order construct items,Abandoned by own state,,My state is exploiting its citizens.,aban2,aban2,aban2,,aban2,long,,,
First-order construct items,Abandoned by own state,,My state is a failed state.,aban3,aban3,aban3,,aban3,long,,,
First-order construct items,Abandoned by own state,,I don't feel that my state takes good care of me.,aban4,aban4,aban4,,aban4,long,,,
First-order construct items,Abandoned by own state,,My state is not able to ensure jobs and fair income for everyone.,aban5,aban5,aban5,,aban5,long,,,
First-order construct items,Abandoned by own state,,I feel anger towards specific politicians who made our daily lives worse.,aban6,,,,,,,,
First-order construct items,Abandoned by own state,,I feel outraged with specific politicians who have failed us.,aban7,,,,,,,,
First-order construct items,Abandoned by own state,,I possess information on how specific politicians worked against our statehood.,aban8,,,,,,,,
First-order construct items,Abandoned by media (censorship),,My state is censoring access to truthful information.,,cen1,cen1,,cen1,long,,,
First-order construct items,Abandoned by media (censorship),,My state is supporting media you cannot trust.,,cen2,cen2,,cen2,long,,,
First-order construct items,Abandoned by media (censorship),,My state actively restricts my freedom of opinion.,,cen3,cen3,,cen3,long,,,
First-order construct items,Abandoned by media (censorship),,All mainstream media are lying to us.,cens1,cen4,cen4,,cen4,long,,,
First-order construct items,Abandoned by media (censorship),,Mainstream media are trying to brainwash citizens of my country.,,cen5,cen5,,cen5,long,,,
First-order construct items,Abandoned by media (censorship),,Mainstream media are useless in providing truthful and accurate information.,,cen6,cen6,,cen6,long,,,
First-order construct items,Pragmatism — Russia,,It is a mistake that we are not allowed to collaborate with such states as Russia.,prag_ru1,pru1,pru1,,pru1,long,,,
First-order construct items,Pragmatism — Russia,,Countries like Ukraine should finally start building good relations with Russia.,prag_ru2,pru2,pru2,,pru2,long,,,
First-order construct items,Pragmatism — Russia,,We should not become enemies with countries like Russia.,prag_ru3,pru3,pru3,,pru3,long,,,
First-order construct items,Pragmatism — Russia,,The West should not behave aggressively towards countries like Russia.,prag_ru4,pru4,pru4,,pru4,long,,,
First-order construct items,Pragmatism — Russia,,Countries like Russia never attack without being provoked.,prag_ru5,pru5,pru5,,pru5,long,,,
First-order construct items,Pragmatism — Russia,,Russia is like a sleeping bear that we should not wake up.,prag_ru6,pru6,pru6,,pru6,long,,,
First-order construct items,Pragmatism — China,,It is a mistake that we are not allowed to collaborate with states such as China.,prag_kin1,pch1,pch1,,pkin1,long,,,
First-order construct items,Pragmatism — China,,Taiwan should finally stop provoking China.,prag_kin2,pch2,pch2,,pkin2,long,,,
First-order construct items,Pragmatism — China,,We should not become enemies with countries like China.,prag_kin3,pch3,pch3,,pkin3,long,,,
First-order construct items,Pragmatism — China,,The West should not behave aggressively towards countries like China.,prag_kin4,pch4,pch4,,pkin4,long,,,
First-order construct items,Pragmatism — China,,Countries like China never attack without being provoked.,prag_kin5,pch5,pch5,,pkin5,long,,,
First-order construct items,Pragmatism — China,,China is like a sleeping dragon that we should not wake up.,prag_kin6,pch6,pch6,,pkin6,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia has an important historic mission.,sup_ru1,sru1,sru1,,sru1,long,,,
First-order construct items,Superiority — Russia (beliefs),,Russia will reemerge as the most powerful nation in the world.,sup_ru2,sru2,sru2,,sru2,long,,,
