item_label,item_label_v2,item_label_v3,S1,S2,S3,dv_pretest,scale,subscale,concept,top-layer,Notes
We have become puppets of Brussels.,,,exp1,NA,NA,NA,Exploitation,,,,
Foreign countries are exploiting our nation’s resources.,,,exp2,exp2,exp2,NA,Exploitation,,EXPL(S2),THREAT(S2),
Western civilization is characterized by materialism and exploitation of others.,Western liberalism is characterized by materialism and exploitation of others.,,exp3,exp3,exp3,NA,Exploitation,,EXPL(S2),THREAT(S2),
Globalization poses a big threat to our statehood and national identity.,,,exp4,exp4,exp4,NA,Exploitation,,EXPL(S2),THREAT(S2),
"Over the past decades, moral values have declined due to Western influence.","Over the past decades, moral values have declined due to Western liberal influence.",,dec1,exp5,exp5,NA,Exploitation,,EXPL(S2),THREAT(S2),Or Decline?
Western actions bring moral erosion.,,,dec2,NA,NA,NA,Decadence,,,,Or Decline?
Our values and lifestyles should be protected from Western moral decadence.,,,dec3,NA,NA,NA,Decadence,,,,Or Decline?
The moral decadence of the West threatens my way of life.,,,dec4,NA,NA,NA,Decadence,,,,Or Decline?
The EU is trying to buy our country to spread its immoral values.,,,dec5,NA,NA,NA,Decadence,,,,Or Decline?
We should protect and enforce traditional gender roles.,,,lgbt1,lgb1,lgb1,NA,The LGBT+,Queer Threat,,,
The LGBT+ movement is a threat to our values.,,,lgbt2,lgb2,lgb2,NA,The LGBT+,Queer Threat,GAY(S2),THREAT(S2),
LGBT+ rights promotion is a disguised form of colonization.,,,lgbt3,lgb3,lgb3,NA,The LGBT+,Queer Threat,GAY(S2),THREAT(S2),
We should ban LGBT+ propaganda like countries as Russia or Belorussia did.,We should ban LGBT+ propaganda like Russia and Belorussia did.,,lgbt4,lgb4,lgb4,NA,The LGBT+,Queer Threat,GAY(S2),THREAT(S2),
"We should immediately stop promoting leftist, woke gender ideology.",,,NA,lgb5,lgb5,NA,The LGBT+,Queer Threat,,,
We should acknowledge biological reality that only two genders exist – male and female.,,,NA,lgb6,lgb6,NA,The LGBT+,Queer Threat,,,
The EU is unable to handle immigration.,EU is unable to handle immigration.,,unp3,mi1,mi1,NA,Immigration,,,,
We should adopt a much harder line against immigration.,,,NA,mi3,mi3,NA,Immigration,,MIGR(S2),THREAT(S2),
Immigrants take advantage of our country.,,,NA,mi4,mi4,NA,Immigration,,MIGR(S2),THREAT(S2),
Immigrants are changing Europe for the worse.,,,unp4,mi2,mi2,NA,Immigration,,MIGR(S2),THREAT(S2),
We should deport all immigrants to where they came from.,,,NA,mi5,mi5,NA,Immigration,,,,
Immigrants are responsible for many of my country's biggest problems.,,,NA,mi6,mi6,NA,Immigration,,,,
Foreigners do not belong in Lithuania.,Foreigners do not belong in Germany.,,NA,mi7,mi7,NA,Immigration,,,,
EU is weak and has no power.,Our international allies are weak and have no power.,,unp1,unp1,unp1,NA,Unprotected by international allies,,ABANF(S2),ABAND(S2),
The influence of the USA in the world is getting weaker and weaker.,,,unp2,NA,NA,NA,Unprotected by international allies,,,,
