item_label_full,item_label_all_wordings,scale,scale_type,S1_raw,S2_raw,S2_canonical,S3,S4,S5_raw,S5_canonical,S1_formative_l1,S1_formative_l2,notes
We have become puppets of Brussels.,"[""We have become puppets of Brussels.""]",Exploitation,lower,exp1,NA,NA,NA,NA,NA,NA,NA,THREAT,S1: Poisonous ethnocentrism?
We are unable to use our nation’s greatest potential because foreign countries are exploiting us.,"[""We are unable to use our nation’s greatest potential because foreign countries are exploiting us."",""We are unable to use our nation’s full potential because foreign countries are exploiting us.""]",Exploitation,lower,poi3,exp1,exp1,exp1,NA,exp_1,exp1,USE,NA,NA
Foreign countries are exploiting our nation’s resources.,"[""Foreign countries are exploiting our nation’s resources.""]",Exploitation,lower,exp2,exp2,exp2,exp2,NA,exp_2,exp2,NA,NA,NA
Western civilization is characterized by materialism and exploitation of others.,"[""Western civilization is characterized by materialism and exploitation of others."",""Western liberalism is characterized by materialism and exploitation of others.""]",Exploitation,lower,exp3,exp3,exp3,exp3,NA,exp_3,exp3,USE,NA,NA
Globalization poses a big threat to our statehood and national identity.,"[""Globalization poses a big threat to our statehood and national identity.""]",Exploitation,lower,exp4,exp4,exp4,exp4,NA,exp_4,exp4,USE,NA,NA
"Over the past decades, moral values have declined due to Western influence.","[""Over the past decades, moral values have declined due to Western influence."",""Over the past decades, moral values have declined due to Western liberal influence.""]",Exploitation,lower,dec1,exp5,exp5,exp5,NA,exp_5,exp5,USE,NA,S1: Decadence?
Western actions bring moral erosion.,"[""Western actions bring moral erosion.""]",Decadence,lower,dec2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Our values and lifestyles should be protected from Western moral decadence.,"[""Our values and lifestyles should be protected from Western moral decadence.""]",Decadence,lower,dec3,NA,NA,NA,NA,NA,NA,NA,NA,NA
The moral decadence of the West threatens my way of life.,"[""The moral decadence of the West threatens my way of life.""]",Decadence,lower,dec4,NA,NA,NA,NA,NA,NA,USE,NA,NA
The EU is trying to buy our country to spread its immoral values.,"[""The EU is trying to buy our country to spread its immoral values.""]",Decadence,lower,dec5,NA,NA,NA,NA,NA,NA,NA,NA,NA
We should protect and enforce traditional gender roles.,"[""We should protect and enforce traditional gender roles.""]",The LGBT+,lower,lgbt1,lgb1,lgb1,lgb1,NA,The LGBT+_1,lgb1,GAY,NA,NA
The LGBT+ movement is a threat to our values.,"[""The LGBT+ movement is a threat to our values.""]",The LGBT+,lower,lgbt2,lgb2,lgb2,lgb2,NA,The LGBT+_2,lgb2,GAY,NA,NA
LGBT+ rights promotion is a disguised form of colonization.,"[""LGBT+ rights promotion is a disguised form of colonization.""]",The LGBT+,lower,lgbt3,lgb3,lgb3,lgb3,NA,The LGBT+_3,lgb3,NA,THREAT,NA
We should ban LGBT+ propaganda like countries as Russia or Belorussia did.,"[""We should ban LGBT+ propaganda like countries as Russia or Belorussia did."",""We should ban LGBT+ propaganda like Russia and Belorussia did.""]",The LGBT+,lower,lgbt4,lgb4,lgb4,lgb4,NA,The LGBT+_4,lgb4,GAY,NA,NA
"We should immediately stop promoting leftist, woke gender ideology.","[""We should immediately stop promoting leftist, woke gender ideology.""]",The LGBT+,lower,NA,lgb5,lgb5,lgb5,NA,The LGBT+_5,lgb5,NA,NA,NA
We should acknowledge biological reality that only two genders exist – male and female.,"[""We should acknowledge biological reality that only two genders exist – male and female.""]",The LGBT+,lower,NA,lgb6,lgb6,lgb6,NA,The LGBT+_6,lgb6,NA,NA,NA
The EU is unable to handle immigration.,"[""The EU is unable to handle immigration."",""EU is unable to handle immigration.""]",Immigration,lower,unp3,mi1,mi1,mi1,NA,imi_1,mi1,MIGR,NA,S1: Unprotected?
We should adopt a much harder line against immigration.,"[""We should adopt a much harder line against immigration.""]",Immigration,lower,NA,mi3,mi3,mi3,NA,imi_2,mi3,NA,NA,NA
Immigrants take advantage of our country.,"[""Immigrants take advantage of our country.""]",Immigration,lower,NA,mi4,mi4,mi4,NA,imi_3,mi4,NA,NA,NA
Immigrants are changing Europe for the worse.,"[""Immigrants are changing Europe for the worse.""]",Immigration,lower,unp4,mi2,mi2,mi2,NA,imi_4,mi2,MIGR,NA,S1: Unprotected?
We should deport all immigrants to where they came from.,"[""We should deport all immigrants to where they came from.""]",Immigration,lower,NA,mi5,mi5,mi5,NA,imi_5,mi5,NA,NA,NA
Immigrants are responsible for many of my country's biggest problems.,"[""Immigrants are responsible for many of my country's biggest problems.""]",Immigration,lower,NA,mi6,mi6,mi6,NA,imi_6,mi6,NA,NA,NA
Foreigners do not belong in Lithuania.,"[""Foreigners do not belong in Lithuania."",""Foreigners do not belong in Germany.""]",Immigration,lower,NA,mi7,mi7,mi7,NA,imi_7,mi7,NA,NA,NA
EU is weak and has no power.,"[""EU is weak and has no power."",""Our international allies are weak and have no power.""]",Unprotected by international allies,lower,unp1,unp1,unp1,unp1,NA,unp_1,unp1,SAFE,NA,NA
The influence of the USA in the world is getting weaker and weaker.,"[""The influence of the USA in the world is getting weaker and weaker.""]",Unprotected by international allies,lower,unp2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NATO will not be brave enough to defend our nation in case of military conflict.,"[""NATO will not be brave enough to defend our nation in case of military conflict."",""Our international allies will not be brave enough to defend our country in case of military conflict.""]",Unprotected by international allies,lower,unp5,unp2,unp2,unp2,NA,unp_2,unp2,NA,NA,NA
NATO will betray us like Ukraine has been betrayed.,"[""NATO will betray us like Ukraine has been betrayed."",""Our international allies will ultimately betray us.""]",Unprotected by international allies,lower,unp6,unp3,unp3,unp3,NA,unp_3,unp3,SAFE,NA,NA
We should quit NATO as NATO membership poses a great threat to our nation.,"[""We should quit NATO as NATO membership poses a great threat to our nation.""]",Unprotected by international allies,lower,unp7,NA,NA,NA,NA,NA,NA,SAFE,NA,NA
NATO has expanded too much and will be torn apart by internal conflicts.,"[""NATO has expanded too much and will be torn apart by internal conflicts."",""The unity of the international allies will be torn apart by internal conflicts.""]",Unprotected by international allies,lower,unp8,unp4,unp4,unp4,NA,unp_4,unp4,NA,LEFT,NA
I’m worried that our ways of life are sought to be destroyed.,"[""I’m worried that our ways of life are sought to be destroyed."",""I’m worried that our way of life is under attack"",""I’m worried that our way of life is under attack""]",THREAT,higher,NA,Twor1,th1,th1,th1,THR_1,th1,NA,NA,NA
"I am sad because our culture, language, and identity are disappearing.","[""I am sad because our culture, language, and identity are disappearing.""]",THREAT,higher,NA,Tsad,th2,th2,NA,THR_2,th2,NA,NA,NA
I feel a threat to the survival of our nation-state.,"[""I feel a threat to the survival of our nation-state.""]",THREAT,higher,NA,Tthr,th3,th3,NA,THR_3,th3,NA,NA,NA
I hate Western liberalism.,"[""I hate Western liberalism.""]",THREAT,higher,NA,Thate,th4,th4,NA,THR_4,th4,NA,NA,NA
I’m worried that my country is being exploited by foreign countries.,"[""I’m worried that my country is being exploited by foreign countries.""]",THREAT,higher,NA,Twor2,th5,th5,th5,THR_5,th5,NA,NA,NA
I am angry when I think about how my country is being used by foreign countries.,"[""I am angry when I think about how my country is being used by foreign countries.""]",THREAT,higher,NA,Tang1,th6,th6,th6,THR_6,th6,NA,NA,NA
I am angry because immigration is changing our way of life for the worse.,"[""I am angry because immigration is changing our way of life for the worse.""]",THREAT,higher,NA,Tang2,th7,th7,th7,THR_7,th7,NA,NA,NA
I feel worried because of uncontrolled immigration.,"[""I feel worried because of uncontrolled immigration.""]",THREAT,higher,NA,Twor3,th8,th8,th8,THR_8,th8,NA,NA,NA
I am worried about the spread of LGBT+ propaganda.,"[""I am worried about the spread of LGBT+ propaganda."",""I am worried by the spread of LGBT+ propaganda""]",THREAT,higher,NA,Twor4,th9,th9,th9,THR_9,th9,NA,NA,NA
I’m outraged when thinking about the promotion LGBT+ ideas.,"[""I’m outraged when thinking about the promotion LGBT+ ideas.""]",THREAT,higher,NA,Tang3,th10,th10,th10,THR_10,th10,NA,NA,NA
I’m disgusted by the LGBT+ propaganda.,"[""I’m disgusted by the LGBT+ propaganda.""]",THREAT,higher,NA,Tdis,th11,th11,NA,THR_11,th11,NA,NA,NA
I feel nostalgic for the days when moral values truly mattered to us.,"[""I feel nostalgic for the days when moral values truly mattered to us.""]",THREAT,higher,NA,Tnost,th12,th12,NA,THR_12,th12,NA,NA,NA
My state has abandoned its citizens.,"[""My state has abandoned its citizens.""]",Abandoned by own state,lower,aban1,aban1,aban1,aban1,NA,aban_1,aban1,NA,LEFT,NA
My state is exploiting its citizens.,"[""My state is exploiting its citizens.""]",Abandoned by own state,lower,aban2,aban2,aban2,aban2,NA,aban_2,aban2,LONE,NA,NA
My state is a failed state.,"[""My state is a failed state.""]",Abandoned by own state,lower,aban3,aban3,aban3,aban3,NA,aban_3,aban3,LONE,NA,NA
I don't feel that my state takes good care of me.,"[""I don't feel that my state takes good care of me."",""I don't think that my state takes good care of us.""]",Abandoned by own state,lower,aban4,aban4,aban4,aban4,NA,aban_4,aban4,LONE,NA,NA
My state is not able to ensure jobs and fair income for everyone.,"[""My state is not able to ensure jobs and fair income for everyone.""]",Abandoned by own state,lower,aban5,aban5,aban5,aban5,NA,aban_5,aban5,LONE,NA,NA
I feel anger towards specific politicians who made our daily lives worse.,"[""I feel anger towards specific politicians who made our daily lives worse.""]",Abandoned by own state,lower,aban6,NA,NA,NA,NA,NA,NA,NA,NA,NA
I feel outraged with specific politicians who have failed us.,"[""I feel outraged with specific politicians who have failed us.""]",Abandoned by own state,lower,aban7,NA,NA,NA,NA,NA,NA,NA,NA,NA
I possess information on how specific politicians worked against our statehood.,"[""I possess information on how specific politicians worked against our statehood.""]",Abandoned by own state,lower,aban8,NA,NA,NA,NA,NA,NA,NA,NA,NA
