item_code,construct,construct_label,origin,lang,language_name,primary,text
gen1,GEN,General Anchor,,EN,English,yes,I have a very negative feeling about how my state handles external threats
gen1,GEN,General Anchor,,AR,Arabic,no,لدي شعور سلبي للغاية بشأن كيفية تعامل ولايتي مع التهديدات الخارجية
gen1,GEN,General Anchor,,BG,Bulgarian,yes,"Имам много негативно отношение към начина, по който държавата ми се справя с външните заплахи"
gen1,GEN,General Anchor,,ZH-S,Chinese (Simplified),no,我对我国应对外部威胁的方式感到非常不满
gen1,GEN,General Anchor,,NL,Dutch,yes,Ik heb een zeer negatief gevoel over de manier waarop mijn staat omgaat met externe bedreigingen
gen1,GEN,General Anchor,,ET,Estonian,yes,"Mul on väga negatiivne tunne selle kohta, kuidas minu riik väliste ohtudega toime tuleb"
gen1,GEN,General Anchor,,FR,French,yes,J'ai un sentiment très négatif sur la façon dont mon État gère les menaces extérieures
gen1,GEN,General Anchor,,KAT,Georgian,no,"ძალიან ნეგატიური განწყობა მაქვს იმასთან დაკავშირებით, თუ როგორ უმკლავდება ჩემი სახელმწიფო გარე საფრთხეებს."
gen1,GEN,General Anchor,,DE,German,yes,"Ich habe ein sehr negatives Gefühl über die Art und Weise, wie mein Staat mit externen Bedrohungen umgeht"
gen1,GEN,General Anchor,,HU,Hungarian,yes,"Nagyon negatív érzéseim vannak azzal kapcsolatban, hogy az állam hogyan kezeli a külső fenyegetéseket."
gen1,GEN,General Anchor,,IT,Italian,yes,Ho una sensazione molto negativa su come il mio stato gestisce le minacce esterne
gen1,GEN,General Anchor,,LV,Latvian,yes,"Man ir ļoti negatīva sajūta par to, kā mana valsts tiek galā ar ārējiem draudiem"
gen1,GEN,General Anchor,,LT,Lithuanian,yes,"Man kyla labai neigiami jausmai, kai galvoju apie tai, ar mano valstybė tinkamai tvarkosi su išorinėmis grėsmėmis"
gen1,GEN,General Anchor,,FA,Persian (Farsi),no,من احساس بسیار منفی‌ای در مورد نحوه برخورد دولت کشورم با تهدیدات خارجی دارم.
gen1,GEN,General Anchor,,PL,Polish,yes,"Mam bardzo negatywne odczucia co do tego, jak mój kraj radzi sobie z zagrożeniami zewnętrznymi"
gen1,GEN,General Anchor,,RU,Russian,yes,"У меня крайне негативное ощущение от того, как моё государство справляется с внешними угрозами."
gen1,GEN,General Anchor,,SR,Serbian,yes,Имам веома негативан осећај о томе како се моја држава носи са спољним претњама
gen1,GEN,General Anchor,,TR,Turkish,yes,Devletimin dış tehditlerle nasıl başa çıktığı konusunda çok olumsuz hislerim var
gen1,GEN,General Anchor,,UK,Ukrainian,no,"У мене дуже негативне відчуття щодо того, як моя держава справляється зі зовнішніми загрозами"
gen2,GEN,General Anchor,,EN,English,yes,I dislike the actions of our international allies in ensuring the safety of my state
gen2,GEN,General Anchor,,AR,Arabic,no,أنا لا أحب تصرفات حلفائنا الدوليين في ضمان سلامة ولايتي
gen2,GEN,General Anchor,,BG,Bulgarian,yes,"Не харесвам действията на нашите международни съюзници, насочени към осигуряване на безопасността на моята държава"
gen2,GEN,General Anchor,,ZH-S,Chinese (Simplified),no,我不喜欢我国国际盟友保障我国安全时的做法为
gen2,GEN,General Anchor,,NL,Dutch,yes,Ik heb een hekel aan de acties van onze internationale bondgenoten bij het waarborgen van de veiligheid van mijn staat
gen2,GEN,General Anchor,,ET,Estonian,yes,Mulle ei meeldi meie rahvusvaheliste liitlaste tegevus minu riigi turvalisuse tagamisel
gen2,GEN,General Anchor,,FR,French,yes,Je n’aime pas les actions de nos alliés internationaux pour assurer la sécurité de mon État
gen2,GEN,General Anchor,,KAT,Georgian,no,არ მომწონს ჩვენი საერთაშორისო მოკავშირეების ქმედებები ჩემი სახელმწიფოს უსაფრთხოების უზრუნველყოფის კუთხით.
gen2,GEN,General Anchor,,DE,German,yes,Ich stehe den Maßnahmen unserer internationalen Partner zur Gewährleistung der Sicherheit meines Landes kritisch gegenüber
gen2,GEN,General Anchor,,HU,Hungarian,yes,"Nem szeretem a nemzetközi szövetségeseink intézkedéseit, amelyekkel államom biztonságát garantálják."
gen2,GEN,General Anchor,,IT,Italian,yes,Non mi piacciono le azioni dei nostri alleati internazionali nel garantire la sicurezza del mio Stato
gen2,GEN,General Anchor,,LV,Latvian,yes,Man nepatīk mūsu starptautisko sabiedroto rīcība manas valsts drošības nodrošināšanā
gen2,GEN,General Anchor,,LT,Lithuanian,yes,"Man nepatinka mūsų tarptautinių sąjungininkų veiksmai, užtikrinant mano valstybės saugumą"
gen2,GEN,General Anchor,,FA,Persian (Farsi),no,من از اقدامات متحدان بین‌المللی‌مان در تضمین امنیت کشورم ناراضی‌ام.
gen2,GEN,General Anchor,,PL,Polish,yes,Nie podobają mi się działania naszych międzynarodowych sojuszników mające na celu zapewnienie bezpieczeństwa mojego kraju
gen2,GEN,General Anchor,,RU,Russian,yes,Мне не нравятся действия наших международных союзников по обеспечению безопасности моего государства.
gen2,GEN,General Anchor,,SR,Serbian,yes,Не свиђају ми се поступци наших међународних савезника у обезбеђивању безбедности моје државе
gen2,GEN,General Anchor,,TR,Turkish,yes,Uluslararası müttefiklerimizin devletimin güvenliğini sağlama konusundaki eylemlerinden hoşlanmıyorum
gen2,GEN,General Anchor,,UK,Ukrainian,no,Мені не подобаються дії наших міжнародних союзників щодо забезпечення безпеки моєї держави
gen3,GEN,General Anchor,,EN,English,yes,I fear the consequences of provoking countries like Russia or China
gen3,GEN,General Anchor,,AR,Arabic,no,أخشى من عواقب استفزاز دول مثل روسيا أو الصين
gen3,GEN,General Anchor,,BG,Bulgarian,yes,Страхувам се от последствията от провокирането на страни като Русия или Китай
gen3,GEN,General Anchor,,ZH-S,Chinese (Simplified),no,我担心激怒俄罗斯或中国等国家可能带来的后果
gen3,GEN,General Anchor,,NL,Dutch,yes,Ik vrees de gevolgen van het provoceren van landen als Rusland of China
gen3,GEN,General Anchor,,ET,Estonian,yes,"Ma kardan tagajärgi, mis kaasnevad selliste riikide nagu Venemaa või Hiina provotseerimisega"
gen3,GEN,General Anchor,,FR,French,yes,Je crains les conséquences de provoquer des pays comme la Russie ou la Chine
gen3,GEN,General Anchor,,KAT,Georgian,no,მეშინია რუსეთის ან ჩინეთის მსგავსი ქვეყნების პროვოცირების შედეგების
gen3,GEN,General Anchor,,DE,German,yes,"Ich fürchte die möglichen Folgen, wenn Länder wie Russland oder China provoziert werden"
gen3,GEN,General Anchor,,HU,Hungarian,yes,"Félek az olyan országok provokálásának következményeitől, mint Oroszország vagy Kína."
gen3,GEN,General Anchor,,IT,Italian,yes,Temo le conseguenze di provocare paesi come la Russia o la Cina
gen3,GEN,General Anchor,,LV,Latvian,yes,"Es baidos no sekām, ko rada tādu valstu kā Krievijas vai Ķīnas provocēšana"
gen3,GEN,General Anchor,,LT,Lithuanian,yes,"Bijau pasekmių, kurios gali kilti dėl tokių šalių kaip Rusija ar Kinija provokavimo"
gen3,GEN,General Anchor,,FA,Persian (Farsi),no,من از عواقب تحریک کشورهایی مانند روسیه یا چین می‌ترسم.
gen3,GEN,General Anchor,,PL,Polish,yes,Obawiam się konsekwencji prowokowania krajów takich jak Rosja czy Chiny
gen3,GEN,General Anchor,,RU,Russian,yes,"Меня тревожат возможные последствия провоцирования таких стран, как Россия или Китай."
gen3,GEN,General Anchor,,SR,Serbian,yes,Плашим се последица провоцирања земаља попут Русије или Кине
gen3,GEN,General Anchor,,TR,Turkish,yes,Rusya veya Çin gibi ülkeleri kışkırtmanın sonuçlarından korkuyorum
gen3,GEN,General Anchor,,UK,Ukrainian,no,"Я боюся наслідків провокації таких країн, як Росія чи Китай"
gen5,GEN,General Anchor,,EN,English,yes,I like Russia
gen5,GEN,General Anchor,,AR,Arabic,no,انا احب روسيا
gen5,GEN,General Anchor,,BG,Bulgarian,yes,Харесвам Русия
gen5,GEN,General Anchor,,ZH-S,Chinese (Simplified),no,我喜欢俄罗斯
gen5,GEN,General Anchor,,NL,Dutch,yes,Ik hou van Rusland
gen5,GEN,General Anchor,,ET,Estonian,yes,Mulle meeldib Venemaa
gen5,GEN,General Anchor,,FR,French,yes,J'aime la Russie
gen5,GEN,General Anchor,,KAT,Georgian,no,მე მომწონს რუსეთი
gen5,GEN,General Anchor,,DE,German,yes,Ich mag Russland
gen5,GEN,General Anchor,,HU,Hungarian,yes,Szeretem Oroszországot.
gen5,GEN,General Anchor,,IT,Italian,yes,Mi piace la Russia
gen5,GEN,General Anchor,,LV,Latvian,yes,Man patīk Krievija
gen5,GEN,General Anchor,,LT,Lithuanian,yes,Man patinka Rusija
gen5,GEN,General Anchor,,FA,Persian (Farsi),no,من از روسیه خوشم می‌آید.
gen5,GEN,General Anchor,,PL,Polish,yes,Lubię Rosję
gen5,GEN,General Anchor,,RU,Russian,yes,Мне нравится Россия.
gen5,GEN,General Anchor,,SR,Serbian,yes,Свиђа ми се Русија
gen5,GEN,General Anchor,,TR,Turkish,yes,Rusya'yı seviyorum
gen5,GEN,General Anchor,,UK,Ukrainian,no,Мені подобається Росія
gen7,GEN,General Anchor,,EN,English,yes,I like China
gen7,GEN,General Anchor,,AR,Arabic,no,انا احب الصين
gen7,GEN,General Anchor,,BG,Bulgarian,yes,Харесвам Китай
gen7,GEN,General Anchor,,ZH-S,Chinese (Simplified),no,我喜欢中国
gen7,GEN,General Anchor,,NL,Dutch,yes,Ik hou van China
gen7,GEN,General Anchor,,ET,Estonian,yes,Mulle meeldib Hiina
gen7,GEN,General Anchor,,FR,French,yes,J'aime la Chine
gen7,GEN,General Anchor,,KAT,Georgian,no,მე მომწონს ჩინეთი
gen7,GEN,General Anchor,,DE,German,yes,Ich mag China
gen7,GEN,General Anchor,,HU,Hungarian,yes,Szeretem Kínát.
gen7,GEN,General Anchor,,IT,Italian,yes,Mi piace la Cina
gen7,GEN,General Anchor,,LV,Latvian,yes,Man patīk Ķīna
gen7,GEN,General Anchor,,LT,Lithuanian,yes,Man patinka Kinija
gen7,GEN,General Anchor,,FA,Persian (Farsi),no,من چین را دوست دارم.
